SDOT_UNIT_,SPR_UNIT_I,SDCI_UNIT_,SPU_TREE_U,SPU_PLANT_,PEST_UNIT_,SOURCE_DEP,SCIENTIFIC,COMMON_NAM,DBH,OWNERSHIP,UNITDESC,GLOBALID,kc_am1,kc_af1,kc_pm1,lat,lon
TRE-45716,,,,,TRE-45716,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"37",Private,616 26TH AVE E,190458dd-a4e2-48bb-9ad0-fdaea48ac592,62.078376770019531,88.010559082031250,83.723922729492188,-122.2986870000,47.6250192800
TRE-58141,,,,,TRE-58141,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,502 30TH AVE,3b9a14a7-4000-465b-9f21-a2504f931697,62.161003112792969,87.176620483398438,83.705413818359375,-122.2934230000,47.6062058800
TRE-68816,,,,,TRE-68816,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"32",Private,308 28TH AVE S,343fc53d-1892-49e3-96ae-58f64ec03c63,61.760337829589837,88.362609863281250,85.604614257812500,-122.2961500000,47.6000093600
TRE-35058,,,,,TRE-35058,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,1904 NW CANOE PL,86e0b37b-4434-45fd-9a81-d51df5789f8e,59.887119293212891,83.714927673339844,81.022216796875014,-122.3811340000,47.6801223900
TRE-18539,,,,,TRE-18539,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,11755 ROOSEVELT WY NE,76983207-6706-4d84-82ba-dc67f1df41c2,61.919601440429688,86.930824279785156,82.622169494628906,-122.3182660000,47.7157827100
TRE-72596,,,,,TRE-72596,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,3028 WALNUT AV SW,ab4208a1-42ff-443c-aa20-1d3f718bd12e,62.444229125976562,89.638221740722656,86.288711547851562,-122.3833930000,47.5760539800
TRE-48758,,,,,TRE-48758,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"52",Private,3711 E MADISON ST,0a616ba7-7366-4101-b892-913e48ecb782,60.693450927734375,89.353576660156250,85.883537292480469,-122.2841730000,47.6305958600
TRE-15556,,,,,TRE-15556,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"38",Private,14344 DAYTON AV N,264d99d8-0685-4811-9622-2dd956aea172,62.494777679443359,87.585449218750000,84.850471496582031,-122.3529210000,47.7336540400
TRE-25658,,,,,TRE-25658,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"42",Private,1902 NE 98TH ST,95f594b4-d8ce-4942-a95f-283bc398d268,60.154117584228509,85.898719787597670,82.768707275390625,-122.3076400000,47.7003577000
TRE-74994,,,,,TRE-74994,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"23",Private,1908 S WALKER ST,8367ae72-b206-497e-b5c6-59257f9bd487,62.453685760498047,89.985038757324219,88.100250244140625,-122.3076530000,47.5837297300
