id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree health condition,field:tree canopy symptoms,field:dieback percent,field:percent canopy affected (%),field:number of additional unhealthy trees (of same species) in area (within sight),"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - access to water,field:optional - estimated time spent to make this observation (# of minutes),field:tree number (from google map) if applicable,field:tree number (from arboreta or other dataset) if applicable,field:optional - signs of sap sucker feeding?,field:notes,field:are baby redcedar trees present within sight?,field:brief tree health description,field:did the tree have any bark discoloration (eg. browning),field:evidence of wood borers or bark beetles?,field:leaf production or drop timing,field:location name - community spaces,field:location type - community spaces,field:most prevalent understory species,field:optional - can we follow up with you?,field:optional - did the tree have heat damage,field:optional - site hydrology,field:optional - site type,field:optional - site/area disturbance level,field:optional - site/location description,field:optional - slope position,field:optional - timing of symptoms estimate,field:optional - were there any other unhealthy plant species on the site?,field:percent of trees (of same species) within sight that are unhealthy,field:plant health condition,field:plant health symptom - rhododendron,field:powdery mildew - percent coverage,field:powdery mildew?,field:relative cone crop,field:sample submitted to laboratory?,field:signs of sooty bark disease?,field:suspected phytophthora infection?,field:tree canopy symptoms - birch,field:tree canopy symptoms - maple,field:tree canopy symptoms - wrc - simplified,field:tree condition,field:tree diameter,field:tree diameter (inches),field:tree equity score,field:tree health issue,field:tree height total (ft),field:tree number,field:urban tree health condition
4601133,ee1afe5b-b6c8-44ad-89d6-2cb9e055780e,2016-11-19 9:14:24 AM PST,2016-11-19,2016-11-19 17:14:24 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2016-11-19 21:53:06 UTC,2021-03-15 02:34:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4601133,https://inaturalist-open-data.s3.amazonaws.com/photos/5562305/medium.jpeg,,,,1,0,false,2,"Pipers Creek Trail Seattle, WA 98177",47.7103004456,-122.3679733276,,,,,,,,false,gps,gps,,King,Washington,United States,Washington,King,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,Small,,,,,,,,,,,,,,,,,,,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,,,,,,,,,,,,,,,,,,
6913373,ad7e5a4f-dc00-495e-8504-9568ce15f24f,2017/07/02 11:31 PM -0700,2017-07-02,2017-07-03 06:31:00 UTC,Arizona,521876,kurtsteinbach,Kurt Steinbach,2017-07-04 06:32:57 UTC,2021-09-06 00:31:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6913373,https://inaturalist-open-data.s3.amazonaws.com/photos/8826605/medium.jpeg,,"","",1,0,false,,"Marrowstone, WA 98358, USA",48.0243496245,-122.6784553527,15,,,,15,,,false,,"",,Jefferson,Washington,United States,Washington,Jefferson,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,No,No selection,Large (too big to wrap arms around trunk),,5,,,,I have been observing this tree for 31 years.  I has always been healthy.,,,,,,,,,Yes,No,Seasonally flooded area,Rural,"Low - fairly natural, not much development",Inside a forest canopy,Floodplain or valley bottom,No selection,No,0,,,,,,,,,,,,,,,,,,,
8254344,206f4f17-3343-4b01-9b70-a51f105e3130,2017/10/04 10:38 AM UTC,2017-10-04,,UTC,652298,giselle9,Giselle Blythe,2017-10-04 17:47:55 UTC,2021-09-06 19:39:07 UTC,research,CC0,https://www.inaturalist.org/observations/8254344,https://inaturalist-open-data.s3.amazonaws.com/photos/10947608/medium.jpeg,,"","",1,0,false,,"91 Lip Lip Ln S, Nordland, Marrowstone Is, WA, USA",48.018843,-122.671725,,,,,,,,false,,,,Jefferson,Washington,United States,Washington,Jefferson,Western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,"Yes (please elaborate in Notes, add Picture if possible)",,Large (too big to wrap arms around trunk),,,,,,"This tree was already large when we came here in 1978. Lots of small holes from resident downy woodpecker. Has endured cabin & garage building and installation of large underground cistern, all about 10 ft away.",,,,,,,,,Yes,No,Upland or well drained,Rural,"Medium (moderately used trails, etc)",Forest edge,Area is flat (e.g. field),,No,,,,,,,,,,,,,,,,,,,,
12363639,e5433f72-9863-4aef-b8af-d32b88217920,2018/04/24,2018-04-24,,Pacific Time (US & Canada),707757,mhays,"",2018-05-11 22:18:36 UTC,2021-04-06 20:10:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12363639,https://inaturalist-open-data.s3.amazonaws.com/photos/17809371/medium.jpeg,,"","",2,0,false,,"Liberty Lake, Spokane County, WA, USA",47.6226150776,-117.0557749808,8,,,,8,,open,false,,,,Spokane,Washington,United States,Washington,Spokane,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12563075,9056f02d-52cc-455d-b18b-a28ad0943e32,2018/05/01,2018-05-01,,Pacific Time (US & Canada),707757,mhays,"",2018-05-18 01:14:56 UTC,2021-01-22 00:10:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12563075,https://inaturalist-open-data.s3.amazonaws.com/photos/18150993/medium.jpg,,"","",1,0,false,,"Lochsa River, Idaho County, ID, USA",46.2137060812,-115.537214935,8,,,,8,,,false,,,,Idaho,Idaho,United States,Idaho,Idaho,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,,,,,,,,,,,,,,,,No Selection,,Upland or well drained,Rural,"Low - fairly natural, not much development",Inside a forest canopy,Floodplain or valley bottom,,,,,,,,,,,,,,,,,,,,,,
12969530,9a2c8a0c-e16e-46d7-a193-2ba2694fb400,2018/05/15,2018-05-15,,Pacific Time (US & Canada),707757,mhays,"",2018-05-31 00:46:50 UTC,2021-01-22 00:08:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12969530,https://inaturalist-open-data.s3.amazonaws.com/photos/18856148/medium.jpeg,,"","",1,0,false,,"Latah County, ID, USA",47.002998477,-116.677039665,8,,,,8,,,false,,,,Latah,Idaho,United States,Idaho,Latah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,,,,,,,,,,,,,,,,No Selection,,Upland or well drained,Rural,"Medium (moderately used trails, etc)",Forest edge,Middle of a slope,,,,,,,,,,,,,,,,,,,,,,
19006459,430ad072-a1ce-4ad2-ab15-8c617bc080b0,2018/12/13 2:12 PM PST,2018-12-13,2018-12-13 22:12:00 UTC,Pacific Time (US & Canada),1075602,geographerdave,David Anderson,2018-12-14 02:47:00 UTC,2024-08-29 18:11:20 UTC,casual,CC-BY,https://www.inaturalist.org/observations/19006459,https://inaturalist-open-data.s3.amazonaws.com/photos/29146027/medium.jpeg,,"phytophthora, Western Redcedar, Thuja plicata","The cedars in Lents Park are mostly dying, or in the early stages of dying.  The cedars along the I-205 bike path in the same area are also dead, or dying.  Phytophthora?
",1,0,true,,"Lents Park, Portland, OR, USA",45.487538793,-122.5718280809,154,,,,154,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,New Dead Top (red or brown needles still attached),,60-99% of the canopy is unhealthy,2-3,Not sure,,,,,,,,This and two other neighboring trees died and were removed in summer 2020,,,,,,,,,Yes,,Upland or well drained,Urban,,Urban yard or open park grounds,Area is flat (e.g. field),,,,,,,,,,,,,,,,,,,,,,
19184654,6533c7ba-a6ba-46be-bdab-7c519ba58042,2018/12/23 2:05 PM PST,2018-12-23,2018-12-23 22:05:00 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2018-12-24 01:19:48 UTC,2021-02-02 13:10:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19184654,https://inaturalist-open-data.s3.amazonaws.com/photos/29465143/medium.jpeg,,"",,2,0,false,,"Briarcrest, Shoreline, WA 98155, USA",47.7430914414,-122.3109349687,15,,,,15,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,,,,,,,"",,,,,,,,,No Selection,,No Selection,Suburban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,Area is flat (e.g. field),,,,,,,,,,,,,,,,,,,,,,
20544675,3e8a1e04-15de-4069-b0ff-3b0c0f35a01f,2019-02-21 1:01:47 PM PST,2019-02-21,2019-02-21 21:01:47 UTC,Pacific Time (US & Canada),1418161,kate274,Kate Ledger,2019-02-22 01:56:55 UTC,2024-11-14 17:39:12 UTC,research,,https://www.inaturalist.org/observations/20544675,https://static.inaturalist.org/photos/31715377/medium.jpeg,,"",,2,0,false,2,"Capital, CA-BC, CA",48.4761422127,-123.3113130648,8,,,,8,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Extra Cone Crop,,1-29% of the canopy is unhealthy,Not sure,Not sure,,,,,,,,,,,,,,,,,,Not Sure,,,,,,,,-0,,,,,,,,,,,,,,,,,,,
25981751,6035337f-664f-4f64-ae90-2da11f4835b3,Tue May 28 2019 16:02:18 GMT-0700 (PDT),2019-05-28,2019-05-28 23:02:18 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-05-29 04:23:36 UTC,2024-01-23 02:41:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25981751,https://inaturalist-open-data.s3.amazonaws.com/photos/40303205/medium.jpg,,"",,1,0,false,3,"1594 Rowan St, Victoria, BC, CA",48.4574580791,-123.335596862,92,,,,92,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Browning Canopy,,30-59% of the canopy is unhealthy,0,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
