field_1,id,latitude,longitude,place_town_name,place_county_name,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
1,4601133,47.7103004456,-122.3679733276,,King,89.4525756835938,56.1064453125,81.3859786987305,,,,,,,,,
2,6913373,48.0243496245,-122.6784553527,,Jefferson,,,,,,,,,,,,
3,8254344,48.018843,-122.671725,,Jefferson,,,,,,,,,,,,
4,12363639,47.6226150776,-117.0557749808,,Spokane,,,,,,,,,,,,
5,12563075,46.2137060812,-115.537214935,,Idaho,,,,,,,,,,,,
6,12969530,47.002998477,-116.677039665,,Latah,,,,,,,,,,,,
7,19006459,45.487538793,-122.5718280809,Portland,Multnomah,,,,,,,31.6608505249023,14.3227643966675,28.9978637695312,,,
8,19184654,47.7430914414,-122.3109349687,,King,88.6370620727539,61.8254165649414,85.6419830322266,,,,,,,,,
9,20544675,48.4761422127,-123.3113130648,"Saanich, British Columbia",Capital,,,,,,,,,,,,
10,25981751,48.4574580791,-123.335596862,"Saanich, British Columbia",Capital,,,,,,,,,,,,
11,26204238,48.4959589876,-123.3322602239,"Saanich, British Columbia",Capital,,,,,,,,,,,,
12,26884358,48.4566683189,-123.324836362,"Saanich, British Columbia",Capital,,,,,,,,,,,,
13,27216264,48.0204805556,-122.6987,,Jefferson,,,,,,,,,,,,
14,27742079,48.7738250189,-123.9218526706,,Cowichan Valley,,,,,,,,,,,,
15,28711929,48.4595301194,-123.3357877623,"Saanich, British Columbia",Capital,,,,,,,,,,,,
16,29603942,48.4579203438,-123.3131297868,Oak Bay,Capital,,,,,,,,,,,,
17,32015164,48.4377004757,-123.3262594284,"Saanich, British Columbia",Capital,,,,,,,,,,,,
18,37020791,48.4522189778,-123.3339328835,"Saanich, British Columbia",Capital,,,,,,,,,,,,
19,37281634,48.4656098637,-123.3000747462,"Saanich, British Columbia",Capital,,,,,,,,,,,,
20,48715992,49.2104824,-122.5237505,,Greater Vancouver,,,,,,,,,,,,
21,49543580,45.4021694444,-121.5705472222,,Hood River,,,,,,,,,,,,
22,50208705,45.47232,-122.653725,Portland,Multnomah,,,,,,,31.4891414642334,15.7451267242432,29.5503311157227,,,
23,51552951,49.3392528,-122.9737917,,Greater Vancouver,,,,,,,,,,,,
24,51656142,49.319717218,-122.9689331866,,Greater Vancouver,,,,,,,,,,,,
25,51849686,45.5162883333,-122.5966416667,Portland,Multnomah,,,,,,,29.8238716125488,16.2033710479736,27.4810848236084,,,
26,52964145,47.6509785313,-122.3072987795,,King,89.101432800293,62.9499931335449,85.4209976196289,,,,,,,,,
27,52996969,45.5276366667,-122.73137,Portland,Multnomah,,,,,,,27.2292518615723,15.0997753143311,27.3571033477783,,,
28,53230757,49.2409174,-122.8086868,,Greater Vancouver,,,,,,,,,,,,
29,53539955,49.1915136,-122.6040854,,Greater Vancouver,,,,,,,,,,,,
30,53766205,48.4625312452,-123.3567977925,"Saanich, British Columbia",Capital,,,,,,,,,,,,
31,55095755,45.3880116667,-122.8368616667,,Washington,,,,,,,,,,,,
32,57555960,49.1847692967,-122.7737085567,,Greater Vancouver,,,,,,,,,,,,
33,57676245,44.8503555556,-121.8456972222,,Marion,,,,,,,,,,,,
34,57888423,49.3440217133,-123.0047542833,,Greater Vancouver,,,,,,,,,,,,
35,58576022,49.77567643,-123.1109970667,,Squamish-Lillooet,,,,,,,,,,,,
36,58862868,49.3902320967,-123.3506584733,,Greater Vancouver,,,,,,,,,,,,
37,60516594,49.3768795717,-123.331412925,,Greater Vancouver,,,,,,,,,,,,
38,61398540,47.6614026155,-122.2832440962,,King,90.1729888916016,62.0761566162109,86.2933197021484,,,,,,,,,
39,61399467,48.1705133577,-122.1901978925,,Snohomish,,,,,,,,,,,,
40,61400313,47.6751263319,-122.2610672191,,King,89.3848495483398,61.6151962280273,86.3546829223633,,,,,,,,,
41,61401102,47.6761844239,-122.2620814294,,King,89.4487533569336,61.665901184082,86.7745513916016,,,,,,,,,
42,61401305,47.6761706532,-122.2624612972,,King,89.4259490966797,61.7218589782715,86.6414260864258,,,,,,,,,
43,61401534,48.4179449564,-122.5708103925,,Skagit,,,,,,,,,,,,
44,61423931,47.6654002946,-122.2830562674,,King,90.2546615600586,62.0443801879883,86.7913513183594,,,,,,,,,
45,61537163,49.5516249567,-123.2381864917,,Squamish-Lillooet,,,,,,,,,,,,
46,61624246,47.7494723567,-122.2079986731,Bothell City Limits,King,89.7990646362305,55.5203247070312,82.2874603271484,,,,,,,,,
47,61624408,47.750082372,-122.2083493488,Bothell City Limits,King,89.8868560791016,55.5798301696777,82.6870269775391,,,,,,,,,
48,61624619,47.750931613,-122.2077266787,Bothell City Limits,King,89.5859909057617,56.0115737915039,81.8041000366211,,,,,,,,,
49,61923541,49.6453608117,-123.2046451717,,Squamish-Lillooet,,,,,,,,,,,,
50,62133383,47.1098824501,-121.8078283388,,King,,,,,,,,,,,,
51,62139519,47.188739637,-122.3279077002,"Puyallup, WA",Pierce,,,,84.8000030517578,56.9000015258789,81.5999984741211,,,,32.8370475769043,15.850040435791,29.0879592895508
52,62243128,48.4605392581,-122.603415996,,Skagit,,,,,,,,,,,,
53,62250074,48.4631052101,-122.6036728175,,Skagit,,,,,,,,,,,,
54,62264694,48.4735473851,-122.6052082983,,Skagit,,,,,,,,,,,,
55,63186072,47.5499451813,-122.2555292119,,King,89.1352081298828,60.8780174255371,84.7744827270508,,,,,,,,,
56,63253840,47.4873686833,-121.7194069,,King,89.6058654785156,55.8402366638184,82.5390701293945,,,,,,,,,
57,63255638,47.4874740833,-121.719034,,King,89.5604858398438,55.8341407775879,82.5092391967773,,,,,,,,,
58,63298788,47.30351667,-122.516525,Tacoma,Pierce,,,,,,,,,,28.1734867095947,15.5540399551392,27.6034030914307
59,63298939,47.49236667,-122.06390283,,King,90.2146377563477,54.9836769104004,80.1078414916992,,,,,,,,,
60,63522352,48.77449167,-122.48045333,"Bellingham, Washington, USA",Whatcom,,,,,,,,,,,,
61,63842953,46.9126149119,-122.928994596,,Thurston,,,,,,,,,,,,
62,63843211,46.9305018039,-122.9364521429,,Thurston,,,,,,,,,,,,
63,64575034,48.73001167,-122.30381667,"Bellingham, Washington, USA",Whatcom,,,,,,,,,,,,
64,64707952,49.3241004942,-122.9444732664,,Greater Vancouver,,,,,,,,,,,,
65,65241620,46.7251093693,-117.0099777327,,Latah,,,,,,,,,,,,
66,65344987,47.0751628056,-122.9717604071,,Thurston,,,,,,,,,,,,
67,65345686,47.0734039722,-122.974052,,Thurston,,,,,,,,,,,,
68,65346596,47.073191,-122.973572,,Thurston,,,,,,,,,,,,
69,65827522,47.24783333,-122.48095833,Tacoma,Pierce,,,,,,,,,,31.7911205291748,16.6633129119873,29.3069667816162
70,65827983,47.24966333,-122.48195,Tacoma,Pierce,,,,,,,,,,31.7800769805908,16.7045631408691,29.3201465606689
71,65828255,47.667575,-122.28566667,,King,90.1919097900391,61.605583190918,86.3781661987305,,,,,,,,,
72,65988466,47.869898,-117.15701,,Spokane,,,,,,,,,,,,
73,66016390,49.213897705,-122.9076461792,,Greater Vancouver,,,,,,,,,,,,
74,66054060,47.7240478,-122.24479483,,King,89.8729858398438,56.2750473022461,83.9516143798828,,,,,,,,,
75,66054151,47.72321235,-122.24449684,,King,89.8039855957031,56.0853843688965,83.9022827148438,,,,,,,,,
76,66062190,47.7237474,-122.2460907,,King,90.0167236328125,56.0334205627441,83.6963729858398,,,,,,,,,
77,66197132,47.54998579,-122.25541078,,King,89.1746673583984,60.8200759887695,84.7123870849609,,,,,,,,,
78,66312732,47.337491,-122.78079,,Pierce,,,,,,,,,,,,
79,66362924,48.7561284146,-122.4399149046,"Bellingham, Washington, USA",Whatcom,,,,,,,,,,,,
80,66390991,47.5853700039,-121.7307021417,,King,,,,,,,,,,,,
81,66585862,47.302145,-122.52431333,Tacoma,Pierce,,,,,,,,,,29.6719036102295,15.2098369598389,26.4912338256836
82,66835176,47.7725805394,-123.4725164625,,Jefferson,,,,,,,,,,,,
83,66837428,48.0279406462,-122.7745359278,,Jefferson,,,,,,,,,,,,
84,66966170,47.35965333,-122.59307833,,Pierce,,,,79.3000030517578,56.9000015258789,78.0999984741211,,,,,,
85,66966372,47.35971167,-122.59216333,,Pierce,,,,79.3000030517578,56.9000015258789,78,,,,,,
86,67182029,47.7023001324,-122.3092648925,,King,86.0356369018555,59.6723556518555,82.8757934570312,,,,,,,,,
87,67207257,46.72489167,-117.01312222,,Latah,,,,,,,,,,,,
88,67542612,47.6252466667,-122.2997966667,,King,88.4495391845703,62.7309036254883,83.7000274658203,,,,,,,,,
89,67542762,47.635475,-122.3067633333,,King,88.2584381103516,59.3642120361328,83.6413803100586,,,,,,,,,
90,67548524,47.6256466667,-122.32447,,King,88.9844512939453,63.5888900756836,85.8361740112305,,,,,,,,,
91,67558333,47.6307916667,-122.3163216667,,King,89.1101684570312,60.1824073791504,85.1061019897461,,,,,,,,,
92,67590491,47.4658932933,-122.4595996596,,King,,,,,,,,,,,,
93,67689415,47.5519633333,-122.2535333333,,King,89.9491806030273,60.2508544921875,83.3305206298828,,,,,,,,,
94,67725403,48.0160669965,-122.6740913852,,Jefferson,,,,,,,,,,,,
95,67737614,47.5526916667,-122.2513966667,,King,90.0497894287109,60.0117607116699,83.1130523681641,,,,,,,,,
96,67810237,49.1400721667,-123.9437333333,,Nanaimo,,,,,,,,,,,,
97,67839053,47.5305116731,-121.9771116667,,King,90.6533279418945,54.9596138000488,80.2557144165039,,,,,,,,,
98,67931089,45.4870293878,-122.572003305,Portland,Multnomah,,,,,,,31.6164951324463,14.3636054992676,28.9604206085205,,,
99,68079062,47.4666169515,-122.4585582124,,King,,,,,,,,,,,,
100,68228219,47.5487655278,-122.2830995545,,King,89.7821426391602,63.2602691650391,86.6194763183594,,,,,,,,,
101,68245512,45.7996305556,-122.6816666667,,Clark,,,,,,,,,,,,
102,68245540,45.7996305556,-122.6816666667,,Clark,,,,,,,,,,,,
103,68262877,48.5230966667,-123.3922416667,"Saanich, British Columbia",Capital,,,,,,,,,,,,
104,68280669,47.494947,-122.069072,,King,90.7133026123047,54.9223518371582,80.0466918945312,,,,,,,,,
105,68283750,47.37774577,-121.98251864,,King,89.8625793457031,55.7762794494629,81.7097854614258,,,,,,,,,
106,68284552,47.3764328664,-121.9804870337,,King,89.9994430541992,55.645824432373,80.7737350463867,,,,,,,,,
107,68317487,46.7521083333,-121.8123222222,,Pierce,,,,,,,,,,,,
108,68317528,46.7498861111,-121.8134277778,,Pierce,,,,,,,,,,,,
109,68378273,47.2452264559,-122.4858716225,Tacoma,Pierce,,,,,,,,,,31.8525867462158,16.404613494873,29.0879936218262
110,68382043,49.3051834106,-123.0087814331,,Greater Vancouver,,,,,,,,,,,,
111,68382155,49.3054275511,-123.0087966917,,Greater Vancouver,,,,,,,,,,,,
112,68398550,48.4676371887,-122.6294711666,,Skagit,,,,,,,,,,,,
113,68431464,47.6176083333,-122.3131866667,,King,87.4399566650391,62.6884651184082,84.7286605834961,,,,,,,,,
114,68431725,47.46565,-120.324845,,Chelan,,,,,,,,,,,,
115,68439913,49.40448,-123.559975,,Sunshine Coast,,,,,,,,,,,,
116,68441859,49.4056783333,-123.5576383333,,Sunshine Coast,,,,,,,,,,,,
117,68471695,49.3424606322,-123.135772705,,Greater Vancouver,,,,,,,,,,,,
118,68476388,49.38953,-123.5527033333,,Sunshine Coast,,,,,,,,,,,,
119,68499123,47.37513916,-122.06213208,,King,89.2385635375977,55.6118354797363,81.3567123413086,,,,,,,,,
120,68500224,47.37402186,-122.06353545,,King,89.4841232299805,56.0027236938477,81.6814346313477,,,,,,,,,
121,68502979,47.37528402,-122.06636817,,King,89.1768417358398,55.846004486084,81.7593154907227,,,,,,,,,
