field_1,id,latitude,longitude,place_town,place_coun,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
"1","4601133",47.710300445599998,-122.367973327599998,,King,89.452575683593750,56.106445312500000,81.385978698730469,,,,,,,,,
"2","6913373",48.024349624499997,-122.678455352699999,,Jefferson,,,,,,,,,,,,
"3","8254344",48.018842999999997,-122.671724999999995,,Jefferson,,,,,,,,,,,,
"4","12363639",47.622615077600003,-117.055774980799995,,Spokane,,,,,,,,,,,,
"5","12563075",46.213706081200002,-115.537214934999994,,Idaho,,,,,,,,,,,,
"6","12969530",47.002998476999998,-116.677039664999995,,Latah,,,,,,,,,,,,
"7","19006459",45.487538792999999,-122.571828080900005,Portland,Multnomah,,,,,,,31.660850524902344,14.322764396667480,28.997863769531246,,,
"8","19184654",47.743091441399997,-122.310934968699996,,King,88.637062072753906,61.825416564941406,85.641983032226562,,,,,,,,,
"9","20544675",48.476142212699997,-123.311313064800004,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"10","25981751",48.457458079100000,-123.335596862000003,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"11","26204238",48.495958987599998,-123.332260223899993,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"12","26884358",48.456668318900000,-123.324836361999999,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"13","27216264",48.020480555600003,-122.698700000000002,,Jefferson,,,,,,,,,,,,
"14","27742079",48.773825018899998,-123.921852670600003,,Cowichan Valley,,,,,,,,,,,,
"15","28711929",48.459530119400000,-123.335787762300001,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"16","29603942",48.457920343799998,-123.313129786800005,Oak Bay,Capital,,,,,,,,,,,,
"17","32015164",48.437700475699998,-123.326259428399993,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"18","37020791",48.452218977800001,-123.333932883499998,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"19","37281634",48.465609863700003,-123.300074746199996,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"20","48715992",49.210482399999997,-122.523750500000006,,Greater Vancouver,,,,,,,,,,,,
"21","49543580",45.402169444400002,-121.570547222200005,,Hood River,,,,,,,,,,,,
"22","50208705",45.472320000000003,-122.653724999999994,Portland,Multnomah,,,,,,,31.489141464233398,15.745126724243164,29.550331115722656,,,
"23","51552951",49.339252799999997,-122.973791700000007,,Greater Vancouver,,,,,,,,,,,,
"24","51656142",49.319717218000001,-122.968933186599997,,Greater Vancouver,,,,,,,,,,,,
"25","51849686",45.516288333299997,-122.596641666699995,Portland,Multnomah,,,,,,,29.823871612548828,16.203371047973633,27.481084823608398,,,
"26","52964145",47.650978531299998,-122.307298779500002,,King,89.101432800292983,62.949993133544922,85.420997619628906,,,,,,,,,
"27","52996969",45.527636666699998,-122.731369999999998,Portland,Multnomah,,,,,,,27.229251861572266,15.099775314331055,27.357103347778320,,,
"28","53230757",49.240917400000001,-122.808686800000004,,Greater Vancouver,,,,,,,,,,,,
"29","53539955",49.191513600000000,-122.604085400000002,,Greater Vancouver,,,,,,,,,,,,
"30","53766205",48.462531245199997,-123.356797792500004,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"31","55095755",45.388011666700002,-122.836861666700003,,Washington,,,,,,,,,,,,
"32","57555960",49.184769296699997,-122.773708556700001,,Greater Vancouver,,,,,,,,,,,,
"33","57676245",44.850355555599997,-121.845697222200002,,Marion,,,,,,,,,,,,
"34","57888423",49.344021713300002,-123.004754283300002,,Greater Vancouver,,,,,,,,,,,,
"35","58576022",49.775676429999997,-123.110997066699994,,Squamish-Lillooet,,,,,,,,,,,,
"36","58862868",49.390232096699997,-123.350658473300001,,Greater Vancouver,,,,,,,,,,,,
"37","60516594",49.376879571700002,-123.331412924999995,,Greater Vancouver,,,,,,,,,,,,
"38","61398540",47.661402615500002,-122.283244096199994,,King,90.172988891601562,62.076156616210938,86.293319702148438,,,,,,,,,
"39","61399467",48.170513357700003,-122.190197892499995,,Snohomish,,,,,,,,,,,,
"40","61400313",47.675126331900003,-122.261067219099999,,King,89.384849548339844,61.615196228027344,86.354682922363281,,,,,,,,,
"41","61401102",47.676184423899997,-122.262081429399998,,King,89.448753356933594,61.665901184082031,86.774551391601562,,,,,,,,,
"42","61401305",47.676170653200003,-122.262461297200005,,King,89.425949096679673,61.721858978271491,86.641426086425781,,,,,,,,,
"43","61401534",48.417944956400000,-122.570810392499993,,Skagit,,,,,,,,,,,,
"44","61423931",47.665400294599998,-122.283056267399999,,King,90.254661560058594,62.044380187988281,86.791351318359375,,,,,,,,,
"45","61537163",49.551624956700003,-123.238186491700006,,Squamish-Lillooet,,,,,,,,,,,,
"46","61624246",47.749472356699997,-122.207998673099993,Bothell City Limits,King,89.799064636230469,55.520324707031250,82.287460327148438,,,,,,,,,
"47","61624408",47.750082372000001,-122.208349348799999,Bothell City Limits,King,89.886856079101562,55.579830169677734,82.687026977539062,,,,,,,,,
"48","61624619",47.750931612999999,-122.207726678699999,Bothell City Limits,King,89.585990905761719,56.011573791503906,81.804100036621094,,,,,,,,,
"49","61923541",49.645360811700002,-123.204645171699994,,Squamish-Lillooet,,,,,,,,,,,,
"50","62133383",47.109882450100002,-121.807828338799993,,King,,,,,,,,,,,,
"51","62139519",47.188739636999998,-122.327907700200001,"Puyallup, WA",Pierce,,,,84.800003051757812,56.900001525878906,81.599998474121094,,,,32.837047576904297,15.850040435791016,29.087959289550781
"52","62243128",48.460539258099999,-122.603415995999995,,Skagit,,,,,,,,,,,,
"53","62250074",48.463105210099997,-122.603672817499998,,Skagit,,,,,,,,,,,,
"54","62264694",48.473547385099998,-122.605208298299999,,Skagit,,,,,,,,,,,,
"55","63186072",47.549945181299996,-122.255529211899997,,King,89.135208129882812,60.878017425537109,84.774482727050781,,,,,,,,,
"56","63253840",47.487368683299998,-121.719406899999996,,King,89.605865478515625,55.840236663818359,82.539070129394531,,,,,,,,,
"57","63255638",47.487474083300000,-121.719033999999994,,King,89.560485839843750,55.834140777587891,82.509239196777344,,,,,,,,,
"58","63298788",47.303516670000000,-122.516525000000001,Tacoma,Pierce,,,,,,,,,,28.173486709594727,15.554039955139160,27.603403091430664
"59","63298939",47.492366670000003,-122.063902830000004,,King,90.214637756347670,54.983676910400391,80.107841491699219,,,,,,,,,
"60","63522352",48.774491670000003,-122.480453330000003,,Whatcom,,,,,,,,,,,,
"61","63842953",46.912614911900000,-122.928994595999995,,Thurston,,,,,,,,,,,,
"62","63843211",46.930501803900000,-122.936452142899995,,Thurston,,,,,,,,,,,,
"63","64575034",48.730011670000003,-122.303816670000003,,Whatcom,,,,,,,,,,,,
"64","64707952",49.324100494200003,-122.944473266399996,,Greater Vancouver,,,,,,,,,,,,
"65","65241620",46.725109369300000,-117.009977732699994,,Latah,,,,,,,,,,,,
"66","65344987",47.075162805600002,-122.971760407100007,,Thurston,,,,,,,,,,,,
"67","65345686",47.073403972199998,-122.974052000000000,,Thurston,,,,,,,,,,,,
"68","65346596",47.073191000000001,-122.973572000000004,,Thurston,,,,,,,,,,,,
"69","65827522",47.247833329999999,-122.480958330000007,Tacoma,Pierce,,,,,,,,,,31.791120529174805,16.663312911987305,29.306966781616211
"70","65827983",47.249663329999997,-122.481949999999998,Tacoma,Pierce,,,,,,,,,,31.780076980590820,16.704563140869141,29.320146560668945
"71","65828255",47.667574999999999,-122.285666669999998,,King,90.191909790039062,61.605583190917969,86.378166198730469,,,,,,,,,
"72","65988466",47.869897999999999,-117.157010000000000,,Spokane,,,,,,,,,,,,
"73","66016390",49.213897705000001,-122.907646179200000,,Greater Vancouver,,,,,,,,,,,,
"74","66054060",47.724047800000001,-122.244794830000004,,King,89.872985839843750,56.275047302246094,83.951614379882812,,,,,,,,,
"75","66054151",47.723212349999997,-122.244496839999996,,King,89.803985595703125,56.085384368896491,83.902282714843750,,,,,,,,,
"76","66062190",47.723747400000001,-122.246090699999996,,King,90.016723632812500,56.033420562744141,83.696372985839844,,,,,,,,,
"77","66197132",47.549985790000001,-122.255410780000005,,King,89.174667358398438,60.820075988769531,84.712387084960938,,,,,,,,,
"78","66312732",47.337491000000000,-122.780789999999996,,Pierce,,,,,,,,,,,,
"79","66362924",48.756128414599999,-122.439914904600002,,Whatcom,,,,,,,,,,,,
"80","66390991",47.585370003900003,-121.730702141699993,,King,,,,,,,,,,,,
"81","66585862",47.302145000000003,-122.524313329999998,Tacoma,Pierce,,,,,,,,,,29.671903610229492,15.209836959838867,26.491233825683594
"82","66835176",47.772580539400003,-123.472516462499996,,Jefferson,,,,,,,,,,,,
"83","66837428",48.027940646200001,-122.774535927800002,,Jefferson,,,,,,,,,,,,
"84","66966170",47.359653330000000,-122.593078329999997,,Pierce,,,,79.300003051757812,56.900001525878906,78.099998474121094,,,,,,
"85","66966372",47.359711670000003,-122.592163330000005,,Pierce,,,,79.300003051757812,56.900001525878906,78.000000000000000,,,,,,
