"","field_1","id","latitude.x","longitude.x","place_town_name.x","place_county_name.x","kc_af1","kc_am1","kc_pm1","pc_af1","pc_am1","pc_pm1","po_af1","po_am1","po_pm1","tac_af1","tac_am1","tac_pm1","uuid","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","user_name","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude.y","longitude.y","positional_accuracy","private_place_guess","private_latitude","private_longitude","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","place_town_name.y","place_county_name.y","place_state_name","place_country_name","place_admin1_name","place_admin2_name","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","field.tree.health.condition","field.tree.canopy.symptoms","field.dieback.percent","field.percent.canopy.affected....","field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.","field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.","field.optional...what..other.factors..were.observed.","field.optional...tree.size","field.optional...access.to.water","field.optional...estimated.time.spent.to.make.this.observation....of.minutes.","field.tree.number..from.google.map..if.applicable","field.tree.number..from.arboreta.or.other.dataset..if.applicable","field.optional...signs.of.sap.sucker.feeding.","field.notes","field.are.baby.redcedar.trees.present.within.sight.","field.brief.tree.health.description","field.critical.root.zone..within.canopy.drip.line....damage.or.concerns","field.did.the.tree.have.any.bark.discoloration..eg..browning.","field.evidence.of.wood.borers.or.bark.beetles.","field.foliage...deformation","field.foliage...insect.feeding","field.foliage.health.comments","field.leaf.production.or.drop.timing","field.location.name...community.spaces","field.location.type...community.spaces","field.most.prevalent.understory.species","field.other.abnormalities.comments","field.plant.health.condition","field.plant.number..from.tag.or.map.","field.powdery.mildew...percent.coverage","field.powdery.mildew.","field.root.collar...signs.of.disease","field.root.collar.health.comments","field.sample.submitted.to.laboratory.","field.signs.of.sooty.bark.disease.","field.suspected.phytophthora.infection.","field.tree.canopy.symptoms...birch","field.tree.canopy.symptoms...maple","field.tree.canopy.symptoms...wrc...simplified","field.tree.condition","field.tree.diameter","field.tree.diameter..inches.","field.tree.equity.score","field.tree.health.issue","field.tree.height.total..ft.","field.tree.number","field.urban.tree.health.condition","field.woody.tissue....structural.damage","field.woody.tissue...insect.activity","field.woody.tissue...signs.of.disease","field.woody.tissue...symptoms","field.woody.tissues.health.comments","tac.am.c","tac.af.c","tac.pm.c","tac.am.f","tac.af.f","tac.pm.f","mean.temp.daily.f","dist.from.mean.daily.f","mean.temp.daily.c","dist.from.mean.daily.c","Area","dist.from.mean.am.c","dist.from.mean.am.f","dist.from.mean.af.c","dist.from.mean.af.f","dist.from.mean.pm.c","dist.from.mean.pm.f","pc.am.f","pc.af.f","pc.pm.f","pc.am.c","pc.af.c","pc.pm.c","kc.am.f","kc.af.f","kc.pm.f","kc.am.c","kc.af.c","kc.pm.c","pl.am.c","pl.af.c","pl.pm.c","pl.am.f","pl.af.f","pl.pm.f","Percent.Dieback.Modified","user.estimated.dieback","tree.size.simplified","binary.tree.canopy.symptoms","ordinal.tree.canopy.symptoms","reclassified.tree.canopy.symptoms","top.dieback","thinning","dead","field.dieback.prop"
"1",1868,145054828,47.23658592,-122.45704277,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.524206161499,16.983377456665,28.0245037078857,"db7ffcd1-d68c-463d-a77d-86c965650d55","2022-12-25 09:52:25","2022-12-25","2022-12-25 17:52:25 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-25 17:53:07 UTC","2023-01-01 19:00:50 UTC","research","","https://www.inaturalist.org/observations/145054828","https://inaturalist-open-data.s3.amazonaws.com/photos/249098403/medium.jpeg",NA,"","",1,0,"false",2,"Pierce County, US-WA, US",47.23658592,-122.45704277,5,"",NA,NA,5,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","0","Not sure","No selection","Large (too big to wrap arms around trunk)","Not sure","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16.983377456665,31.524206161499,28.0245037078857,62.570079421997,88.7435710906982,82.4441066741943,77.9192523956298,3.04588476754655,25.5106957753499,1.69215820419252,"Tacoma",0.932929168973139,1.67927250415165,3.08620418550775,5.55516753391395,1.05734125809668,1.90321426457402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"2",1870,145069407,47.23767516,-122.45207275,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.706600189209,16.8383197784424,27.9030303955078,"a221b98d-e0fb-47f5-9144-04f157208389","2022-12-25 14:07:27","2022-12-25","2022-12-25 22:07:27 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-25 22:09:41 UTC","2023-01-13 23:58:06 UTC","casual","","https://www.inaturalist.org/observations/145069407","https://inaturalist-open-data.s3.amazonaws.com/photos/249127329/medium.jpeg",NA,"","",3,0,"true",2,"25th St S & S M St, Tacoma, WA 98405, USA",47.23767516,-122.45207275,6,"",NA,NA,6,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","0","No","No selection","Large (too big to wrap arms around trunk)","Not sure","5","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16.8383197784424,31.706600189209,27.9030303955078,62.3089756011963,89.0718803405762,82.225454711914,77.8687702178955,2.99540258981224,25.4826501210531,1.66411254989569,"Tacoma",0.78787149075054,1.41816868335098,3.26859821321775,5.88347678379195,0.93586794571878,1.6845623022938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"3",1871,145069927,47.23911137,-122.45427476,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8094024658203,16.9946174621582,27.824686050415,"5193d654-0986-46e2-8e43-4537bf6f0119","2022-12-25 14:19:26","2022-12-25","2022-12-25 22:19:26 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-25 22:19:57 UTC","2023-01-13 23:57:56 UTC","casual","","https://www.inaturalist.org/observations/145069927","https://inaturalist-open-data.s3.amazonaws.com/photos/249128531/medium.jpeg",NA,"","",3,0,"true",2,"Hilltop, Tacoma, WA, USA",47.23911137,-122.45427476,4,"",NA,NA,4,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","0","No","No selection","Medium (can wrap arms around trunk)","Not sure","5","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16.9946174621582,31.8094024658203,27.824686050415,62.5903114318848,89.2569244384765,82.084434890747,77.9772235870361,3.10385595895283,25.5429019927978,1.72436442164046,"Tacoma",0.944169174466339,1.69950451403941,3.37140048982905,6.06852088169229,0.857523600625981,1.54354248112675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Medium","Healthy","Healthy","Healthy","No","No","No",0
"4",1872,145372548,47.26715326,-122.51362684,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5224571228027,16.1001300811768,29.3694972991943,"48bedbd7-9c2b-470e-9fc3-e564a2f59f65","2022-12-29 12:26:37","2022-12-29","2022-12-29 20:26:37 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-29 20:27:09 UTC","2023-10-18 21:03:51 UTC","research","","https://www.inaturalist.org/observations/145372548","https://inaturalist-open-data.s3.amazonaws.com/photos/249684956/medium.jpeg",NA,"","",2,0,"false",2,"Tacoma, WA 98406, USA",47.26715326,-122.51362684,4,"",NA,NA,4,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","0","Not sure","No selection","Large (too big to wrap arms around trunk)","Tree may have occassional access to water in summer (watered by someone)","","Twrc2","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16.1001300811768,30.5224571228027,29.3694972991943,60.9802341461182,86.9404228210449,84.8650951385497,77.5952507019043,2.721883073821,25.3306948343913,1.51215726323389,"Tacoma",0.0496817934849396,0.0894272282728963,2.08445514681145,3.75201926426061,2.40233484940528,4.32420272892951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"5",1873,145373987,47.26566961,-122.50399299,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6410541534424,16.1721363067627,28.5895767211914,"b43fcac5-5382-4a39-b29f-8e3e35267d0b","2022-12-29 12:47:13","2022-12-29","2022-12-29 20:47:13 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-29 20:48:53 UTC","2023-10-10 21:41:13 UTC","research","","https://www.inaturalist.org/observations/145373987","https://inaturalist-open-data.s3.amazonaws.com/photos/249688541/medium.jpeg",NA,"","",3,0,"false",2,"Tacoma, WA 98406, USA",47.26566961,-122.50399299,9,"",NA,NA,9,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","1","Not sure","No selection","Medium (can wrap arms around trunk)","Tree has access to water year round (watered in summer or near permanent water source)","5","Twrc3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16.1721363067627,31.6410541534424,28.5895767211914,61.1098453521729,88.9538974761963,83.4612380981445,77.8416603088379,2.96829268075463,25.4675890604655,1.64905148930812,"Tacoma",0.121688019070838,0.219038434327508,3.20305217745116,5.76549391941207,1.62241427140238,2.92034568852428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Medium","Healthy","Healthy","Healthy","No","No","No",0
"6",1874,145376461,47.26536384,-122.48573358,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5190029144287,16.0341873168945,29.4078235626221,"ed8cf9da-9d77-48e4-b9e9-aa0f97b2a24e","2022-12-29 13:21:57","2022-12-29","2022-12-29 21:21:57 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-29 21:23:42 UTC","2023-10-10 21:26:19 UTC","research","","https://www.inaturalist.org/observations/145376461","https://inaturalist-open-data.s3.amazonaws.com/photos/249693376/medium.jpeg",NA,"","",2,0,"false",2,"Tacoma, WA 98406, USA",47.26536384,-122.48573358,7,"",NA,NA,7,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","0","No","","Large (too big to wrap arms around trunk)","Tree has access to water year round (watered in summer or near permanent water source)","5","Twrc4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16.0341873168945,31.5190029144287,29.4078235626221,60.8615371704101,88.7342052459717,84.9340824127198,78.1766082763672,3.30324064828392,25.6536712646484,1.83513369349106,"Tacoma",-0.0162609707973616,-0.0292697474352437,3.08100093843746,5.5458016891874,2.44066111283308,4.39319000309955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"7",1875,145376812,47.26569972,-122.48430261,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7229232788086,15.9096937179565,29.3379230499268,"9765cb9f-ede7-4110-9553-e13426e6f90d","2022-12-29 13:27:07","2022-12-29","2022-12-29 21:27:07 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-29 21:28:55 UTC","2023-01-01 19:00:52 UTC","research","","https://www.inaturalist.org/observations/145376812","https://inaturalist-open-data.s3.amazonaws.com/photos/249694204/medium.jpeg",NA,"","",2,0,"false",2,"Tacoma, WA 98406, USA",47.26569972,-122.48430261,7,"",NA,NA,7,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","0","Not sure","","Large (too big to wrap arms around trunk)","Not sure","5","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,15.9096937179565,31.7229232788086,29.3379230499268,60.6374486923217,89.1012619018555,84.8082614898682,78.1823240280151,3.30895639993187,25.6568466822306,1.83830911107325,"Tacoma",-0.14075456973536,-0.253358225523648,3.28492130281736,5.91285834507123,2.37076060013778,4.267369080248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"8",1876,145440816,47.24707758,-122.44720136,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.963529586792,17.6215801239014,29.1488494873047,"8ab69af8-dfc7-427a-820e-3048e38ab92e","2022-12-30 10:25:26","2022-12-30","2022-12-30 18:25:26 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-30 18:27:16 UTC","2023-01-01 19:00:53 UTC","research","","https://www.inaturalist.org/observations/145440816","https://inaturalist-open-data.s3.amazonaws.com/photos/249817013/medium.jpeg",NA,"","Parking corner ",2,0,"false",2,"Hilltop, Tacoma, WA, USA",47.24707758,-122.44720136,5,"",NA,NA,5,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","1","Not sure","","Large (too big to wrap arms around trunk)","Not sure","5","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,17.6215801239014,31.963529586792,29.1488494873047,63.7188442230225,89.5343532562256,84.4679290771485,79.2403755187989,4.36700789071558,26.2446530659994,2.42611549484199,"Tacoma",1.57113183620954,2.82803730517717,3.52552761080075,6.34594969944135,2.18168703751568,3.92703666752821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"9",1877,145441228,47.24692979,-122.4473679,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9225673675537,17.6162109375,29.0751094818115,"ef3e9363-bb52-4cd4-9e53-673cc8934ecf","2022-12-30 10:28:49","2022-12-30","2022-12-30 18:28:49 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-30 18:31:12 UTC","2023-01-01 20:43:25 UTC","research","","https://www.inaturalist.org/observations/145441228","https://inaturalist-open-data.s3.amazonaws.com/photos/249817499/medium.jpeg",NA,"","Parking corner ",2,0,"false",2,"Hilltop, Tacoma, WA, USA",47.24692979,-122.4473679,8,"",NA,NA,8,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","1","No","No selection","Large (too big to wrap arms around trunk)","Not sure","5","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,17.6162109375,31.9225673675537,29.0751094818115,63.7091796875,89.4606212615967,84.3351970672607,79.1683326721191,4.29496504403585,26.2046292622884,2.38609169113102,"Tacoma",1.56576264980814,2.81837276965465,3.48456539156246,6.2722177048124,2.10794703202248,3.79430465764047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"10",1878,145441528,47.24711523,-122.44692623,"Tacoma","Pierce",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0157508850098,17.6173896789551,29.2637157440186,"8e48f806-eee6-4ba5-b5f5-5f38e087b494","2022-12-30 10:33:27","2022-12-30","2022-12-30 18:33:27 UTC","Pacific Time (US & Canada)",6194941,"jim1083","Jim Knettel","2022-12-30 18:35:06 UTC","2024-02-05 23:29:06 UTC","research","","https://www.inaturalist.org/observations/145441528","https://inaturalist-open-data.s3.amazonaws.com/photos/249818016/medium.jpeg",NA,"","Under power lines 1",2,0,"false",2,"Hilltop, Tacoma, WA, USA",47.24711523,-122.44692623,7,"",NA,NA,7,"","open","false","","","Tacoma","Pierce","Washington","United States","Washington","Pierce","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"","Healthy",0,"Healthy, no dieback(0%)","1","No","No selection","Medium (can wrap arms around trunk)","Not sure","5","","","","tree has been topped for powerlines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,17.6173896789551,32.0157508850098,29.2637157440186,63.7113014221192,89.6283515930176,84.6746883392335,79.3381137847901,4.46474615670684,26.2989521026612,2.48041453150379,"Tacoma",1.56694139126324,2.82049450427383,3.57774890901856,6.43994803623339,2.29655329422958,4.13379592961324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Medium","Healthy","Healthy","Healthy","No","No","No",0
